# p q signal noise
46 40 3.824e-19 9.235e-20
46 41 4.203e-19 9.235e-20
46 42 3.675e-19 9.235e-20
47 37 3.474e-19 9.235e-20
47 38 3.203e-19 9.235e-20
47 39 4.196e-19 9.235e-20
47 40 3.824e-19 9.235e-20
47 41 4.203e-19 9.235e-20
47 42 3.675e-19 9.235e-20
48 37 3.616e-19 9.235e-20
48 38 2.566e-19 9.235e-20
48 39 2.755e-19 9.235e-20
48 40 3.620e-19 9.235e-20
48 41 3.905e-19 9.235e-20
49 38 2.566e-19 9.235e-20
49 39 2.755e-19 9.235e-20
49 40 3.620e-19 9.235e-20
49 41 3.905e-19 9.235e-20
49 42 2.002e-19 9.235e-20
50 38 3.674e-19 9.235e-20
50 39 3.734e-19 9.235e-20
50 40 3.164e-19 9.235e-20
50 41 2.724e-19 9.235e-20
50 42 2.781e-19 9.235e-20
51 38 3.674e-19 9.235e-20
51 39 3.734e-19 9.235e-20
51 40 3.164e-19 9.235e-20
51 41 2.724e-19 9.235e-20
51 42 2.781e-19 9.235e-20
52 37 3.584e-19 9.235e-20
52 38 3.585e-19 9.235e-20
52 39 3.360e-19 9.235e-20
52 40 3.689e-19 9.235e-20
52 41 3.281e-19 9.235e-20
52 42 4.142e-19 9.235e-20
52 43 4.129e-19 9.235e-20
53 37 3.584e-19 9.235e-20
53 38 3.585e-19 9.235e-20
53 39 3.360e-19 9.235e-20
53 40 3.689e-19 9.235e-20
53 41 3.281e-19 9.235e-20
53 42 4.142e-19 9.235e-20
53 43 4.129e-19 9.235e-20
54 37 2.708e-19 9.235e-20
54 38 2.912e-19 9.235e-20
54 39 4.733e-19 9.235e-20
54 40 4.791e-19 9.235e-20
54 41 4.756e-19 9.235e-20
54 42 3.646e-19 9.235e-20
54 43 3.454e-19 9.235e-20
55 37 2.708e-19 9.235e-20
55 38 2.912e-19 9.235e-20
55 39 4.733e-19 9.235e-20
55 40 4.791e-19 9.235e-20
55 41 4.756e-19 9.235e-20
55 42 3.646e-19 9.235e-20
55 43 3.454e-19 9.235e-20
56 37 3.254e-19 9.235e-20
56 38 3.881e-19 9.235e-20
56 39 4.289e-19 9.235e-20
56 40 4.723e-19 9.235e-20
56 41 3.318e-19 9.235e-20
56 42 3.279e-19 9.235e-20
56 43 2.462e-19 9.235e-20
57 37 3.254e-19 9.235e-20
57 38 3.881e-19 9.235e-20
57 39 4.289e-19 9.235e-20
57 40 4.723e-19 9.235e-20
57 41 3.318e-19 9.235e-20
57 42 3.279e-19 9.235e-20
57 43 2.462e-19 9.235e-20
58 37 2.784e-19 9.235e-20
58 38 3.916e-19 9.235e-20
58 39 3.489e-19 9.235e-20
58 40 3.903e-19 9.235e-20
58 41 3.974e-19 9.235e-20
58 42 3.362e-19 9.235e-20
58 43 3.123e-19 9.235e-20
59 37 2.784e-19 9.235e-20
59 38 3.916e-19 9.235e-20
59 39 3.489e-19 9.235e-20
59 40 3.903e-19 9.235e-20
59 41 3.974e-19 9.235e-20
59 42 3.362e-19 9.235e-20
59 43 3.123e-19 9.235e-20
60 38 2.362e-19 9.235e-20
60 39 3.046e-19 9.235e-20
60 40 3.272e-19 9.235e-20
60 41 3.908e-19 9.235e-20
60 42 4.113e-19 9.235e-20
60 43 2.633e-19 9.235e-20
61 39 3.046e-19 9.235e-20
61 40 3.272e-19 9.235e-20
61 41 3.908e-19 9.235e-20
61 42 4.113e-19 9.235e-20
61 43 2.633e-19 9.235e-20
62 39 2.062e-19 9.235e-20
62 40 2.635e-19 9.235e-20
62 41 2.631e-19 9.235e-20
62 42 2.842e-19 9.235e-20
62 43 3.060e-19 9.235e-20
63 39 2.062e-19 9.235e-20
63 40 2.635e-19 9.235e-20
63 41 2.631e-19 9.235e-20
63 42 2.842e-19 9.235e-20
63 43 3.060e-19 9.235e-20
64 38 3.572e-19 9.235e-20
64 39 2.035e-19 9.235e-20
64 40 4.416e-19 9.235e-20
64 41 3.523e-19 9.235e-20
64 42 3.167e-19 9.235e-20
64 43 2.748e-19 9.235e-20
65 38 3.572e-19 9.235e-20
65 39 2.035e-19 9.235e-20
65 40 4.416e-19 9.235e-20
65 41 3.523e-19 9.235e-20
65 42 3.167e-19 9.235e-20
65 43 2.748e-19 9.235e-20
65 44 3.412e-19 9.235e-20
66 38 2.525e-19 9.235e-20
66 39 6.737e-19 9.235e-20
66 40 3.903e-19 9.235e-20
66 41 4.125e-19 9.235e-20
66 42 2.479e-19 9.235e-20
66 43 4.471e-19 9.235e-20
66 44 3.308e-19 9.235e-20
67 38 2.525e-19 9.235e-20
67 39 6.737e-19 9.235e-20
67 40 3.903e-19 9.235e-20
67 41 4.125e-19 9.235e-20
67 42 2.479e-19 9.235e-20
67 43 4.471e-19 9.235e-20
67 44 3.308e-19 9.235e-20
68 38 3.083e-19 9.235e-20
68 39 2.682e-19 9.235e-20
68 40 3.361e-19 9.235e-20
68 41 3.821e-19 9.235e-20
68 42 4.151e-19 9.235e-20
68 43 3.412e-19 9.235e-20
68 44 3.525e-19 9.235e-20
69 39 2.682e-19 9.235e-20
69 40 3.361e-19 9.235e-20
69 41 3.821e-19 9.235e-20
69 42 4.151e-19 9.235e-20
69 43 3.412e-19 9.235e-20
88 43 2.848e-19 9.235e-20
89 40 2.318e-19 9.235e-20
89 41 2.130e-19 9.235e-20
89 42 2.986e-19 9.235e-20
89 43 2.848e-19 9.235e-20
89 44 2.284e-19 9.235e-20
89 45 2.507e-19 9.235e-20
90 39 4.657e-19 9.235e-20
90 40 2.928e-19 9.235e-20
90 41 3.354e-19 9.235e-20
90 42 3.499e-19 9.235e-20
90 43 4.015e-19 9.235e-20
90 44 4.443e-19 9.235e-20
90 45 3.533e-19 9.235e-20
91 38 3.222e-19 9.235e-20
91 39 4.657e-19 9.235e-20
91 40 2.928e-19 9.235e-20
91 41 3.354e-19 9.235e-20
91 42 3.499e-19 9.235e-20
91 43 4.015e-19 9.235e-20
91 44 4.443e-19 9.235e-20
91 45 3.533e-19 9.235e-20
