bin                file               met              met_unc                 ext             ext_unc                sfr_hb               esfr_hb               sfr_oii              esfr_oii
--- ------------------- ----------------- -------------------- ------------------- ------------------- --------------------- --------------------- --------------------- ---------------------
  0   Alfa/Sp_bin_0.obs 8.939128319426793 0.022717862617713358 0.36163713677985193 0.06814788847306097   0.09591294249247997  0.006574694185982256   0.08068480911771399  0.010855992546305163
  1   Alfa/Sp_bin_1.obs  8.90760409357864  0.03399825113343091 0.20555049215114618 0.08978551233871505  0.018377117928638477  0.002521520746275081  0.016082036461855246 0.0027512536015499326
 10  Alfa/Sp_bin_10.obs 8.947779370420783  0.02246012290241417  0.4019365484372578 0.07266386232515704   0.09580584320520164  0.007867220849150591   0.08073441882008173  0.010704373873152914
100 Alfa/Sp_bin_100.obs 8.766428352235273  0.03440838146692471 0.21689993050458878 0.09052473105868125  0.022310986384800575 0.0023316589688503076    0.0170635564220526 0.0037321953216038926
101 Alfa/Sp_bin_101.obs  8.90101205911377 0.025363772616588065  0.2926353372646707 0.07569446272012295  0.030685792185407044 0.0035116286577243933  0.024704352541026087   0.00395962751038989
102 Alfa/Sp_bin_102.obs 8.930289593686695 0.023194230763499135 0.30188942334272495 0.07018669567923096   0.05168834828882029  0.004088506431021897   0.04425096270451095 0.0065876190606192556
103 Alfa/Sp_bin_103.obs 8.861936328422683  0.02926393036706809  0.1273359812317081 0.07788967929074661  0.013672425725632419 0.0014920378049676384  0.012363310499444391 0.0016898653777396092
104 Alfa/Sp_bin_104.obs 8.879591648093047 0.031739064347284796 0.13798699674431714 0.08506742659834952  0.008447106071322357  0.001123205209534026  0.007905074211688198  0.001239516523062251
105 Alfa/Sp_bin_105.obs 8.866560647453838  0.02752753144316955 0.18232277274910244 0.07436495092942083   0.02947397073213053 0.0028924544853298362  0.024768927266286118  0.003432024588745815
106 Alfa/Sp_bin_106.obs 8.827189271805839  0.03981938588570788 0.11581784951708826 0.07845117995807883  0.008775491559023277 0.0012390323337686912   0.00791835914717466 0.0011598710091898687
 11  Alfa/Sp_bin_11.obs 8.789109245716297  0.03665046231923874 0.08427890127467155  0.0664739166808585  0.015152271327918984  0.001708990119248163  0.012918127637154338  0.002047113714826451
 12  Alfa/Sp_bin_12.obs 8.986106873023905 0.026120605055122148  0.4514373498292665 0.07852081900578359   0.07116930858404477 0.0071993834582016955   0.05871436635716053  0.008613863211603259
 13  Alfa/Sp_bin_13.obs 8.965277523049178  0.02941055492872202 0.42209541893410385 0.07392900453361112  0.056754050027295264  0.004660993311066789   0.04829550439082471  0.007974355861263712
 14  Alfa/Sp_bin_14.obs 8.766592503781546  0.03055582882639829  0.1290030713716939 0.07909697139900618     0.034734304988768 0.0032734704696139733  0.027733185296329378  0.004086086929694555
 15  Alfa/Sp_bin_15.obs 8.919818560157848  0.03350746045857722   0.256611096076256 0.08644096211554297   0.02053385868585145  0.002075203547460965  0.016938688536336045 0.0027811646626348004
 16  Alfa/Sp_bin_16.obs 8.972801844563719 0.027238512794427017 0.31644903079387116 0.08071735320069917   0.03534257483540312 0.0034364632209389102  0.030658240798999727  0.005146440974457708
 17  Alfa/Sp_bin_17.obs  8.99549662916104 0.029166086193748164  0.4537809388171154 0.08416135154929938  0.051390080466311064  0.006162249237762409   0.04163519931336693  0.006225580401810853
 18  Alfa/Sp_bin_18.obs 8.945540520000229  0.03095137175298035  0.2713012994229538 0.08334433883127917   0.03709307112354175  0.004777160897935142  0.030998604174879592  0.005422179074542836
 19  Alfa/Sp_bin_19.obs 8.899571079759511  0.03406332189785832 0.29381894529988645 0.08913023829342806   0.04773922320081908  0.005834591537999173    0.0378486693764166  0.007179656974095148
  2   Alfa/Sp_bin_2.obs 8.942543589675719 0.025589378026142917 0.32804815764832135 0.07803751688563716   0.08731723254473424   0.00834382051362871   0.07380070437252355  0.009706875402000513
 20  Alfa/Sp_bin_20.obs  8.69176003107372  0.03762057388164841 0.10324562940641878  0.0839329741066811   0.01297156143034422 0.0016514019330568144  0.010205279357183175 0.0016637843353957344
 21  Alfa/Sp_bin_21.obs  8.72923413768288 0.029237344788368702 0.22339707953590168 0.08272108294712009   0.04317862179736587  0.004462394736680919   0.03208716944583784  0.005769959061145481
 22  Alfa/Sp_bin_22.obs 8.839052771798993 0.037458336378798585 0.08252285572820657 0.07343013235683588  0.012396155102298141  0.001683943632514744  0.011232632829033863 0.0017533781366153457
 23  Alfa/Sp_bin_23.obs 8.733570912117855  0.03562739255313385 0.13401550534461337 0.08598916624395372  0.015173990036045481 0.0016396622535861296  0.012182863983819573  0.002026099665607243
 24  Alfa/Sp_bin_24.obs 8.859617288722788 0.027535577360187524 0.23941151118373102 0.07685576951955894  0.039223310843861346  0.004155119310741532   0.03213241479543975  0.005958888868628609
 25  Alfa/Sp_bin_25.obs 8.915584307656955 0.029711935931377553  0.2472827880357441 0.07742278530307177   0.03351710931612286  0.003790991022243718  0.028077056918212683  0.004631861831164073
 26  Alfa/Sp_bin_26.obs 9.013004758228995  0.02816817150485207  0.4581522785574687 0.08181648928321344   0.04194640726537456  0.004412918834761113   0.03469277398967925  0.006162396874495518
 27  Alfa/Sp_bin_27.obs 8.886752230051094 0.037053677965938725 0.07089601425490778 0.06415162193738663  0.011160852194707332  0.001184092171110417  0.011344804317307505 0.0013011394092619965
 28  Alfa/Sp_bin_28.obs  8.89294628988996  0.03337164199466436 0.17751124500601806 0.08331972202812228  0.012264950056471963  0.001449323636386608  0.010979838569949716 0.0016330363154766622
