# p q signal noise
23 99 1.329e+02 3.779e+00
23 100 1.284e+02 3.779e+00
23 101 1.179e+02 3.779e+00
23 102 1.163e+02 3.779e+00
23 103 1.200e+02 3.779e+00
23 104 1.208e+02 3.779e+00
23 105 1.218e+02 3.779e+00
23 106 1.269e+02 3.779e+00
23 107 1.299e+02 3.779e+00
23 108 1.389e+02 3.779e+00
23 109 1.317e+02 3.779e+00
23 110 1.272e+02 3.779e+00
23 111 1.290e+02 3.779e+00
23 112 1.593e+02 3.779e+00
23 113 1.845e+02 3.779e+00
23 114 2.056e+02 3.779e+00
23 115 2.155e+02 3.779e+00
23 116 1.968e+02 3.779e+00
23 117 1.803e+02 3.779e+00
23 118 1.615e+02 3.779e+00
23 119 1.509e+02 3.779e+00
23 120 1.464e+02 3.779e+00
23 121 1.158e+02 3.779e+00
23 122 9.272e+01 3.779e+00
23 123 7.124e+01 3.779e+00
23 124 5.629e+01 3.779e+00
23 125 4.510e+01 3.779e+00
24 73 2.952e+01 3.779e+00
24 74 3.571e+01 3.779e+00
24 75 4.428e+01 3.779e+00
24 76 4.942e+01 3.779e+00
24 77 5.310e+01 3.779e+00
24 78 6.621e+01 3.779e+00
24 79 6.870e+01 3.779e+00
24 80 7.413e+01 3.779e+00
24 81 7.491e+01 3.779e+00
24 82 8.183e+01 3.779e+00
24 83 8.849e+01 3.779e+00
24 84 8.200e+01 3.779e+00
24 85 8.002e+01 3.779e+00
24 86 8.831e+01 3.779e+00
24 87 9.507e+01 3.779e+00
24 88 8.981e+01 3.779e+00
24 89 1.035e+02 3.779e+00
24 90 1.047e+02 3.779e+00
24 91 1.077e+02 3.779e+00
24 92 1.160e+02 3.779e+00
24 93 1.213e+02 3.779e+00
24 94 1.369e+02 3.779e+00
24 95 1.518e+02 3.779e+00
24 96 1.625e+02 3.779e+00
24 97 1.745e+02 3.779e+00
24 98 1.741e+02 3.779e+00
24 99 1.579e+02 3.779e+00
24 100 1.549e+02 3.779e+00
24 101 1.416e+02 3.779e+00
24 102 1.481e+02 3.779e+00
24 103 1.482e+02 3.779e+00
24 104 1.382e+02 3.779e+00
24 105 1.423e+02 3.779e+00
24 106 1.420e+02 3.779e+00
24 107 1.468e+02 3.779e+00
24 108 1.468e+02 3.779e+00
24 109 1.409e+02 3.779e+00
24 110 1.503e+02 3.779e+00
24 111 1.559e+02 3.779e+00
24 112 1.817e+02 3.779e+00
24 113 2.163e+02 3.779e+00
24 114 2.322e+02 3.779e+00
24 115 2.308e+02 3.779e+00
24 116 2.085e+02 3.779e+00
24 117 1.783e+02 3.779e+00
24 118 1.711e+02 3.779e+00
24 119 1.589e+02 3.779e+00
24 120 1.441e+02 3.779e+00
24 121 1.298e+02 3.779e+00
24 122 1.058e+02 3.779e+00
24 123 8.359e+01 3.779e+00
24 124 6.154e+01 3.779e+00
24 125 5.002e+01 3.779e+00
24 126 4.323e+01 3.779e+00
25 70 3.038e+01 3.779e+00
25 71 3.183e+01 3.779e+00
25 72 3.850e+01 3.779e+00
25 73 4.639e+01 3.779e+00
25 74 6.302e+01 3.779e+00
25 75 6.353e+01 3.779e+00
25 76 6.030e+01 3.779e+00
25 77 7.266e+01 3.779e+00
25 78 8.522e+01 3.779e+00
25 79 8.222e+01 3.779e+00
25 80 1.015e+02 3.779e+00
25 81 1.027e+02 3.779e+00
25 82 9.654e+01 3.779e+00
25 83 1.001e+02 3.779e+00
25 84 1.016e+02 3.779e+00
25 85 1.045e+02 3.779e+00
25 86 1.099e+02 3.779e+00
25 87 1.140e+02 3.779e+00
25 88 1.190e+02 3.779e+00
25 89 1.218e+02 3.779e+00
25 90 1.252e+02 3.779e+00
25 91 1.218e+02 3.779e+00
25 92 1.270e+02 3.779e+00
25 93 1.431e+02 3.779e+00
25 94 1.518e+02 3.779e+00
25 95 1.702e+02 3.779e+00
25 96 1.892e+02 3.779e+00
25 97 1.900e+02 3.779e+00
25 98 1.892e+02 3.779e+00
25 99 1.715e+02 3.779e+00
25 100 1.744e+02 3.779e+00
25 101 1.600e+02 3.779e+00
25 102 1.534e+02 3.779e+00
25 103 1.562e+02 3.779e+00
25 104 1.693e+02 3.779e+00
25 105 1.606e+02 3.779e+00
25 106 1.491e+02 3.779e+00
25 107 1.548e+02 3.779e+00
25 108 1.612e+02 3.779e+00
25 109 1.650e+02 3.779e+00
25 110 1.717e+02 3.779e+00
25 111 1.868e+02 3.779e+00
25 112 2.124e+02 3.779e+00
25 113 2.246e+02 3.779e+00
25 114 2.277e+02 3.779e+00
25 115 2.212e+02 3.779e+00
25 116 1.976e+02 3.779e+00
25 117 1.769e+02 3.779e+00
25 118 1.678e+02 3.779e+00
25 119 1.458e+02 3.779e+00
25 120 1.310e+02 3.779e+00
25 121 1.245e+02 3.779e+00
25 122 9.596e+01 3.779e+00
25 123 7.559e+01 3.779e+00
25 124 5.494e+01 3.779e+00
25 125 5.254e+01 3.779e+00
25 126 4.567e+01 3.779e+00
26 68 4.125e+01 3.779e+00
26 69 4.229e+01 3.779e+00
26 70 5.463e+01 3.779e+00
26 71 6.254e+01 3.779e+00
26 72 6.180e+01 3.779e+00
26 73 7.101e+01 3.779e+00
26 74 8.005e+01 3.779e+00
26 75 8.864e+01 3.779e+00
26 76 8.882e+01 3.779e+00
26 77 9.994e+01 3.779e+00
26 78 1.116e+02 3.779e+00
26 79 1.098e+02 3.779e+00
26 80 1.141e+02 3.779e+00
26 81 1.181e+02 3.779e+00
26 82 1.174e+02 3.779e+00
26 83 1.251e+02 3.779e+00
26 84 1.274e+02 3.779e+00
26 85 1.319e+02 3.779e+00
26 86 1.293e+02 3.779e+00
26 87 1.377e+02 3.779e+00
26 88 1.454e+02 3.779e+00
26 89 1.416e+02 3.779e+00
26 90 1.481e+02 3.779e+00
26 91 1.502e+02 3.779e+00
26 92 1.459e+02 3.779e+00
26 93 1.573e+02 3.779e+00
26 94 1.698e+02 3.779e+00
26 95 1.744e+02 3.779e+00
26 96 1.838e+02 3.779e+00
26 97 1.874e+02 3.779e+00
26 98 1.886e+02 3.779e+00
26 99 1.632e+02 3.779e+00
26 100 1.617e+02 3.779e+00
26 101 1.541e+02 3.779e+00
26 102 1.501e+02 3.779e+00
26 103 1.448e+02 3.779e+00
26 104 1.587e+02 3.779e+00
26 105 1.501e+02 3.779e+00
26 106 1.341e+02 3.779e+00
26 107 1.403e+02 3.779e+00
26 108 1.595e+02 3.779e+00
26 109 1.716e+02 3.779e+00
26 110 1.915e+02 3.779e+00
26 111 2.020e+02 3.779e+00
26 112 2.100e+02 3.779e+00
26 113 2.041e+02 3.779e+00
26 114 1.995e+02 3.779e+00
26 115 1.903e+02 3.779e+00
26 116 1.763e+02 3.779e+00
26 117 1.514e+02 3.779e+00
26 118 1.400e+02 3.779e+00
26 119 1.167e+02 3.779e+00
26 120 1.105e+02 3.779e+00
26 121 1.012e+02 3.779e+00
26 122 7.151e+01 3.779e+00
26 123 6.730e+01 3.779e+00
26 124 5.600e+01 3.779e+00
26 125 3.961e+01 3.779e+00
27 66 3.587e+01 3.779e+00
27 67 3.923e+01 3.779e+00
27 68 4.907e+01 3.779e+00
27 69 6.241e+01 3.779e+00
27 70 7.632e+01 3.779e+00
27 71 9.218e+01 3.779e+00
27 72 1.037e+02 3.779e+00
27 73 1.024e+02 3.779e+00
27 74 1.165e+02 3.779e+00
27 75 1.226e+02 3.779e+00
27 76 1.319e+02 3.779e+00
27 77 1.353e+02 3.779e+00
27 78 1.421e+02 3.779e+00
27 79 1.427e+02 3.779e+00
27 80 1.439e+02 3.779e+00
27 81 1.428e+02 3.779e+00
27 82 1.425e+02 3.779e+00
27 83 1.368e+02 3.779e+00
27 84 1.393e+02 3.779e+00
27 85 1.370e+02 3.779e+00
27 86 1.345e+02 3.779e+00
27 87 1.521e+02 3.779e+00
27 88 1.511e+02 3.779e+00
27 89 1.490e+02 3.779e+00
27 90 1.459e+02 3.779e+00
27 91 1.393e+02 3.779e+00
27 92 1.490e+02 3.779e+00
27 93 1.511e+02 3.779e+00
27 94 1.571e+02 3.779e+00
27 95 1.578e+02 3.779e+00
27 96 1.586e+02 3.779e+00
27 97 1.579e+02 3.779e+00
27 98 1.517e+02 3.779e+00
27 99 1.361e+02 3.779e+00
27 100 1.267e+02 3.779e+00
