# met met_unc sfr_density_SED sfr_density_SED_unc Ha_flux Ha_flux_unc mass_density mass_density_unc area_pc
8.66555302258 0.452526168296 -5.483396141875752 0.27999999999999997 3.001e-18 2.21e-19 2.486603858124248 0.7400000000000002 116831.94659322068
8.919790911450002 0.15989186151399998 -6.723396141875751 1.33 3.3319999999999997e-18 2.5429999999999997e-19 2.926603858124248 0.35000000000000053 133960.84758602022
9.1333387808 0.11937891537600001 -5.673396141875751 0.46 3.483e-18 2.603e-19 2.5966038581242477 0.5600000000000005 132568.75371299344
8.97287671955 0.11782751298999998 -6.453396141875752 1.1899999999999997 3.483999999999999e-18 1.8340000000000002e-19 2.656603858124249 0.5199999999999996 128268.85460828022
8.9953354324 0.168331976033 -6.763396141875752 1.4 3.375e-18 3.019e-19 2.8866038581242477 0.5 149275.9747133125
9.10270052851 0.173039487192 -5.603396141875752 0.47 2.738e-18 2.321e-19 2.5866038581242483 0.6900000000000004 124061.72985563657
9.01221231443 0.184619884047 -6.703396141875752 1.35 3.551e-18 2.659e-19 2.936603858124248 0.47999999999999954 114027.58395651661
9.12717780995 0.11769113039299998 -5.443396141875752 0.32 3.963e-18 1.744e-19 2.646603858124248 0.6500000000000004 29972.308333357778
9.04206629483 0.146881940668 -6.413396141875752 0.8899999999999998 3.4650000000000004e-18 4.641e-19 2.326603858124248 0.45999999999999996 64974.73196914101
9.06196546039 0.162768550713 -7.183396141875752 1.7899999999999998 4.101e-18 2.379e-19 3.2766038581242483 0.1899999999999995 23034.908140179312
9.14719747409 0.119764290231 -6.913396141875752 1.5099999999999998 3.9e-18 4.203e-19 2.896603858124248 0.41000000000000014 62412.488488040195
8.82339927805 0.17588734499 -6.653396141875752 1.37 3.514e-18 2.1539999999999998e-19 2.4566038581242484 0.5699999999999994 7574.321584712444
9.05092621599 0.127014381955 -5.6733961418757515 0.53 4.167e-18 2.31e-19 2.966603858124248 0.4900000000000002 2741.8503589008387
9.087058832590001 0.14690865125400002 -6.373396141875752 1.03 3.4650000000000004e-18 2.1609999999999998e-19 2.996603858124249 0.47999999999999954 5555.962795762295
8.86193858574 0.185223968576 -5.763396141875752 0.49 3.685e-18 2.823e-19 2.426603858124248 0.6200000000000001 46145.73967987585
nan nan -6.643396141875752 1.4200000000000002 3.257e-18 2.353e-19 3.0066038581242482 0.3799999999999999 29824.25368148401
