# met met_unc sfr_density sfr_density_unc sfr_density_SED sfr_density_SED_unc mass_density mass_density_unc area_pc
8.769943237304688 0.02658325992524624 -6.083776357502623 0.006222423211889761 -6.545050144195557 1.0800000429153442 2.5749499797821045 0.4699999988079071 9468.640996491018
8.754664421081543 0.02361610159277916 -6.188566263477152 0.009727518078885198 -6.075050354003906 0.5199999809265137 2.364949941635132 0.5600000023841858 9535.408689426402
8.751811981201172 0.025004856288433075 -5.9585240307180944 0.005756843565287855 -6.295050144195557 0.7200000286102295 2.4449498653411865 0.23000000417232513 9420.12605212804
8.743758201599121 0.025050804018974304 -5.926244953574735 0.005569768049162477 -6.255050182342529 0.75 2.4949498176574707 0.49000000953674316 9354.236824776386
8.74445915222168 0.024611596018075943 -6.467876637650183 0.009969721324556145 -6.415050029754639 0.550000011920929 1.8549498319625854 0.7900000214576721 38136.66326548093
8.745294570922852 0.025022929534316063 -6.355312181688052 0.007178943455855523 -6.445050239562988 0.5799999833106995 2.0849499702453613 0.5600000023841858 9612.994802013145
8.744087219238281 0.02652520313858986 -6.172198887078216 0.012253554939659668 -6.515049934387207 0.7699999809265137 2.224949836730957 0.3799999952316284 9286.293172571157
8.751777648925781 0.024157720307509106 -6.244318728033237 0.0055978228634173295 -6.875050226847331 0.8900000254313151 1.9649499257405598 0.5800000031789144 83986.47419718961
8.737346649169922 0.02409176155924797 -6.16082478590686 0.00842805432859991 -6.47504997253418 0.699999988079071 2.294949769973755 0.41999998688697815 9216.882596654012
8.756011962890625 0.02839812907305631 -6.728228039219056 0.009094609141445458 -8.045050187544389 1.4099999341097744 1.6249498887495561 0.27000000260092993 1172497.9339923547
8.738668441772461 0.025471728295087814 -6.506743805631941 0.007048333560630147 -7.025050163269043 0.7099999785423279 1.6249498128890991 0.5699999928474426 156709.744050371
8.767473220825195 0.02432837833960851 -6.492929748305433 0.007880955534812783 -6.625050226847331 0.6499999761581421 1.8149498303731282 0.7200000286102295 88083.48843852292
8.763856887817383 0.02373127080500126 -6.271353652828051 0.00955619877052444 -6.405050277709961 0.6899999976158142 2.3349499702453613 0.4399999976158142 9632.629940180592
8.72330682927912 0.025355225259607487 -6.790599090665612 0.012287792220679338 -7.265050714666193 0.8900000832297585 1.5649499026211826 0.5700000416148793 1105003.3641638479
8.733034133911133 0.028350154558817547 -6.385246093830955 0.009441534874227853 -7.615049997965495 1.5700000127156575 2.0249497095743814 0.4699999888737996 81509.0814268073
8.78375244140625 0.02954622507095337 -7.176459594989252 0.016700173951907895 -7.805051676432291 1.0800000508626302 1.4349498748779297 0.3800000508626302 2288609.658342635
8.789268493652344 0.026150036603212357 -6.65740411755981 0.013010343386861712 -7.375050067901611 1.2300000190734863 2.0749499797821045 0.30000001192092896 157039.01662723278
8.786303520202637 0.02569141983985901 -6.322851190145454 0.010714789457662036 -6.775050163269043 1.0299999713897705 2.354949951171875 0.38999998569488525 9697.1048426774
8.771284103393555 0.02272171713411808 -6.042330081678804 0.006617644420993214 -6.615050315856934 0.9700000286102295 2.5049498081207275 0.33000001311302185 9568.005973933627
8.814005851745605 0.024983949959278107 -6.340953327073634 0.007126357106833716 -7.265049934387207 1.5700000524520874 2.3849499225616455 0.4300000071525574 38806.002678143814
8.772588729858398 0.026465384289622307 -6.277978686918245 0.007297932334373448 -7.145050048828125 1.5 2.5049498081207275 0.38999998569488525 9641.072829057764
8.779420471191406 0.03060847818851471 -7.219276188373088 0.012773831898728407 -7.445050811767578 0.9899999618530273 1.584949779510498 0.48999996185302735 989409.2078137284
8.796036720275879 0.0258884746581316 -6.323570794628127 0.007740840690307773 -7.06505012512207 1.5 2.5849499702453613 0.38999998569488525 9676.76850718489
8.755843162536621 0.02618330903351307 -6.26718788483091 0.00809065529913126 -6.435050010681152 0.699999988079071 2.3049497604370117 0.46000000834465027 9415.537613491468
8.777172088623047 0.023667480796575546 -6.128291388542351 0.005308955747472862 -6.425050258636475 0.7099999785423279 2.3149497509002686 0.47999998927116394 9517.049409797464
8.754417419433594 0.02453181892633438 -6.248675329802954 0.010091600701458849 -6.06505012512207 0.3199999928474426 2.1249499320983887 0.6399999856948853 9289.88923574768
8.798590660095215 0.02535690926015377 -6.294797332601669 0.00856518448656194 -6.185050010681152 0.49000000953674316 2.2549498081207275 0.550000011920929 9598.786638750316
8.751906394958496 0.02414940483868122 -6.315177287819946 0.009256356114227874 -7.825050354003906 1.7000000476837158 1.9949498176574707 0.38999998569488525 142306.75635179214
8.744466781616211 0.02307771146297455 -6.205664218059058 0.005330229485001797 -7.165049870808919 1.1699999173482258 1.9549498558044434 0.5600000222524008 81325.88858499755
8.83694839477539 0.02431192807853222 -6.422944442951969 0.011642712082484718 -7.09505033493042 1.4700000286102295 2.5549497604370117 0.3700000047683716 9670.537825685804
8.820008277893066 0.023458167910575867 -6.253209117488084 0.010025572889288391 -6.185050010681152 0.5899999737739563 2.344949960708618 0.5600000023841858 9656.577371942049
8.829816182454428 0.023178619643052418 -6.374093124126501 0.005518499689627199 -7.585049947102864 1.6600000063578289 2.234949747721354 0.3799999952316284 85285.36373893582
8.787312507629395 0.025408508256077766 -6.430278220792539 0.013954904998613732 -6.625050067901611 0.7200000286102295 2.1249499320983887 0.4699999988079071 9477.730046092169
8.756134986877441 0.02517036348581314 -6.167854044242594 0.005700585110819796 -7.135050296783447 1.2100000381469727 2.2449498176574707 0.3700000047683716 9363.494111810622
8.853178977966309 0.023666562512516975 -6.392454154036916 0.008952602593896391 -6.165050029754639 0.6000000238418579 2.5149497985839844 0.46000000834465027 9683.193410598567
