# met met_unc sfr_density sfr_density_unc sfr_density_SED sfr_density_SED_unc mass_density mass_density_unc area_pc
8.942007064819336 0.02099812775850296 -7.267253989022251 0.011618571465572337 -7.258296966552734 1.0499999523162842 1.781703233718872 0.5400000214576721 101801.05248764019
8.909460801344652 0.03377150801511911 -7.941629447745162 0.020142051082660074 -9.15829585148738 2.5899998591496396 1.2717034266545222 0.6700000029343826 1127499.8304213139
8.945570945739746 0.02669159322977066 -7.333174903949759 0.013557814173004109 -7.818296909332275 1.6799999475479126 2.211703300476074 0.1599999964237213 25523.376719373853
8.886512756347656 0.03891797363758087 -7.977216923873732 0.01944012873803887 -8.288296699523926 1.7699999809265137 1.3517032861709595 0.6499999761581421 1774546.6585017445
8.918311527797155 0.02537108744893755 -7.466670130127883 0.014787003965446346 -7.6482969011579245 1.4199999400547572 2.0017032623291016 0.30999997683933805 322922.91410382965
8.85780173853824 0.032864934519717566 -8.058067525533689 0.020830513822279798 -8.128296701531662 1.6200001365260075 1.5217033185456927 0.5 2541941.114880685
8.9186429977417 0.026641270145773888 -7.554748813517961 0.012430200588241966 -7.638296604156494 0.949999988079071 2.0017032623291016 0.3100000023841858 102216.37717239128
8.87762451171875 0.024754988650480907 -7.5810405238185155 0.009097411984381985 -7.39829699198405 0.9199999968210856 1.7217033704121907 0.4300000270207723 237853.08511500942
9.00525188446045 0.024669623002409935 -7.419981459934753 0.013552903931353093 -7.3682966232299805 1.1299999952316284 2.2717032432556152 0.3499999940395355 98685.49344436362
8.839897791544596 0.02903647969166438 -7.568812719592876 0.009955266290876652 -7.618296941121419 1.6299999554951985 2.0217034022013345 0.5 223660.62890020208
8.94566822052002 0.022135108709335327 -7.28565221384455 0.010884708407353703 -7.468296527862549 1.409999966621399 2.1817033290863037 0.25999999046325684 24772.32460901095
8.784956932067871 0.03485920652747154 -8.053710792634515 0.014096711070989592 -8.128296852111816 1.7000000476837158 1.5217032432556152 0.5799999833106995 1630246.6027567277
8.98501968383789 0.025647331029176712 -7.422904566285895 0.011508382299872964 -6.6182966232299805 0.8100000023841858 2.211703300476074 0.47999998927116394 96307.89135966847
8.963737487792969 0.0289314866065979 -7.4841735396265365 0.013680913303027979 -7.788296508789062 2.0100000381469725 2.671703338623047 0.23999998569488526 148070.9358832074
8.767573674519857 0.030742372075716656 -7.67449701275369 0.01509603184775047 -7.65829594930013 1.6699999173482258 2.151703198750814 0.3799999952316284 215398.00236697207
8.91539162083676 0.03015517874767906 -7.951961296770629 0.019195716114539973 -9.098297119140625 2.5999996787623356 1.3317032864219265 0.699999959845292 2274822.434139026
8.970976829528809 0.02708110213279724 -7.683441432652253 0.010096081569207544 -7.778296947479248 1.7000000476837158 1.8717032670974731 0.5199999809265137 379382.92861314275
8.9958864847819 0.02855989585320155 -7.565322577297034 0.014322474706079865 -6.108296712239583 0.549999992052714 2.3317031860351562 0.6100000540415446 205933.09605006568
