bin                file               met              met_unc                 ext             ext_unc               sfr_hb               esfr_hb              sfr_oii              esfr_oii
--- ------------------- ----------------- -------------------- ------------------- ------------------- -------------------- --------------------- -------------------- ---------------------
  0   Alfa/Sp_bin_0.obs  8.76666658452785 0.025420351251608686  0.6723007167613699 0.07473180894357456   0.9240703963691645  0.057796131208844304    0.612629268231868   0.07123300654990883
  1   Alfa/Sp_bin_1.obs 8.752218399454286 0.023459258203818223  0.6619393941116261  0.0759145731728561   0.8819286865319702   0.06956762723707044   0.5733605350372286   0.08396389436034091
 10  Alfa/Sp_bin_10.obs 8.735227001290149 0.026905885349061798 0.40553752763334916 0.08123517674026531   0.2942560765324048  0.024906802159192942   0.1916233530682412    0.0291768263673845
100 Alfa/Sp_bin_100.obs 8.980955924862286  0.03202644456598236  0.5984910263202277 0.08970480817129334  0.22956296187963424   0.03210172866454353  0.18753030500902243  0.031441023680326904
101 Alfa/Sp_bin_101.obs 8.955678985066697  0.02768837114291678  0.5023465597987224 0.07830966327153221   0.1424951762137481  0.015146604069868397  0.11837106080267529   0.01892441814358678
102 Alfa/Sp_bin_102.obs   8.8972915420168  0.03182009853163148  0.5177664201545369 0.10038085742419658  0.10300228257232492  0.011689874307218455  0.07284993738795313  0.014978971500492766
103 Alfa/Sp_bin_103.obs  8.97039479916582 0.026532175141253056  0.5582040407781819 0.08462391900641575  0.19002187562031017  0.022310749119647477  0.15333207766248028  0.032607229199272725
104 Alfa/Sp_bin_104.obs 8.846763777077223 0.042848088997924805  0.2734362136964733 0.12046260487640928   0.0347754144494433  0.005706277985274745 0.028513749042081118 0.0075047189674079424
105 Alfa/Sp_bin_105.obs 8.974528426254633  0.03073899178365025  0.6007622536893065 0.08849794455533144    0.206739583741289  0.024967530677725933  0.16620564591956632  0.023251039423764372
106 Alfa/Sp_bin_106.obs 8.953294451902758  0.03286332394341418  0.4467554683845367 0.11298061422249284  0.19442649888268898  0.025642259655750343  0.16603646372593006                   0.0
107 Alfa/Sp_bin_107.obs 8.867438876252038 0.036392265624447084  0.2973528845233365 0.10727624069863742 0.045401939078433366  0.008233802588507637 0.033739406667340446  0.007746507998571437
108 Alfa/Sp_bin_108.obs 8.931706894296013  0.03376256218235962  0.5139344008447015 0.09574731629585917  0.18510800883709763  0.028784764777221458  0.15053520432892106  0.027985983673795144
109 Alfa/Sp_bin_109.obs  8.95874782646786  0.03350660128201177  0.5451175589952872 0.10553776552657917   0.1579359785635442  0.026700847716780315  0.12255326323980252  0.026173641648946366
 11  Alfa/Sp_bin_11.obs 8.764656651073096  0.02391373956393661  0.5046693809449465 0.08037177099312182  0.42318987362173976   0.03333851287772302   0.2976353175516639  0.041457478456359775
110 Alfa/Sp_bin_110.obs  8.95590538834753  0.03668492621108843  0.3937845393786322  0.1194198711165596  0.15522295007101325   0.02518607802918199   0.1200918383714547   0.03600251509537536
111 Alfa/Sp_bin_111.obs  8.94986280452203  0.03368249384584132  0.4281142041742887 0.10642306776577426  0.14174724953555196  0.018628655438642554  0.11182220768233266  0.028711985678076223
112 Alfa/Sp_bin_112.obs 8.866466901297999 0.034422024210373436  0.5148066562610119 0.09362892916282506  0.10430194352713242  0.014847528814068645  0.07886394268381954  0.015503891509555785
113 Alfa/Sp_bin_113.obs  8.96812587354578 0.034209324550245945  0.6477714097387699 0.11319046711187564  0.21781800448364932   0.02913909365390986   0.1722861719963181   0.04083964192008556
114 Alfa/Sp_bin_114.obs  8.94612745849242 0.034583518839935934   0.595486558121255 0.10334833045325587   0.1947662746600215   0.02184424721498089  0.15225239585937017   0.03670776122938715
115 Alfa/Sp_bin_115.obs 8.876552503798408  0.03507389527097615   0.261893793893505 0.09227320673503983  0.07712482690879684  0.011183506043136567  0.06110594866001543  0.012606147101876002
116 Alfa/Sp_bin_116.obs 8.975402507285697  0.03748059638134116  0.4421087552575983 0.11486570937708862   0.1447309770256423  0.024688072552003136  0.10847736819036544   0.02829647694450778
117 Alfa/Sp_bin_117.obs 8.962782922201606  0.03649048238289598 0.43976574048262823 0.11866264120560388  0.14208021872189314   0.02413896912952463  0.11666600497414108  0.028331825337945878
118 Alfa/Sp_bin_118.obs 8.966157570782865  0.03301499967414934  0.4810806127837197 0.09725157764333012  0.14639845555500713  0.021172171698167458  0.12638131053745663  0.027910077364650066
119 Alfa/Sp_bin_119.obs 8.921908059345013 0.033851674269403276  0.4105250706807184 0.11608474080897258  0.09737611455659463  0.017364272578705472  0.07965734991923284   0.01479797218411675
 12  Alfa/Sp_bin_12.obs 8.757357047139505  0.02609182348823591  0.5766469193239763 0.08158444968875428   0.6911733391742099    0.0657802556773236  0.47352183212035487   0.08536957351770194
120 Alfa/Sp_bin_120.obs 8.873567564908612 0.034512752802863034  0.2624332053372692 0.09493737106926872  0.07735971797815991  0.009702077466952397  0.06804415748741705  0.012975315318850301
121 Alfa/Sp_bin_121.obs  8.81312363227902 0.039321894679027025 0.18876676854928415 0.10784779202288775   0.0364290801588896  0.006908101158439801  0.03005053764606358  0.007525153573653701
122 Alfa/Sp_bin_122.obs 8.927231961625637 0.033503696825053275 0.43764766244187325  0.1105269134201515  0.12452362951209475  0.020654262461995296  0.10136624012955638  0.023572809719391047
123 Alfa/Sp_bin_123.obs 8.895811923926821  0.03911278506537741 0.31984982573386134 0.10270847520846924 0.040746651723424454  0.007648990346652382  0.03603175890174829  0.007880386719095406
124 Alfa/Sp_bin_124.obs 8.877273340632016    0.036095636892016    0.36299114923553 0.10188035702050793  0.09959786235621061  0.015174881385157213  0.07671834810748926  0.014187811590514375
