bin                file               met              met_unc                 ext             ext_unc               sfr_hb               esfr_hb             sfr_oii              esfr_oii
--- ------------------- ----------------- -------------------- ------------------- ------------------- -------------------- --------------------- ------------------- ---------------------
  0   Alfa/Sp_bin_0.obs 8.769943203372781  0.02658325947155671  0.6752878120672382 0.06286298522186129   1.5455790523643775  0.009617247121665562  1.0377040295237963  0.012504966797059813
  1   Alfa/Sp_bin_1.obs 8.754664501067218 0.023616101590924643  0.6607411290847712 0.07191134382026537   1.2142309881004512  0.011811453450560894  1.1504859939454137  0.012261894031559306
 10  Alfa/Sp_bin_10.obs 8.738668678765773 0.025471728168857233  0.3875109895037182 0.07627000865258038   0.5836114381134772  0.004113487901231394  0.7607235245088189  0.004473570250952963
100 Alfa/Sp_bin_100.obs 8.979926566073681 0.030902897157628395   0.588063457349639  0.0933106291483412   0.6276747286420568  0.006484507544657958  0.9320575961169482  0.005756320749750243
101 Alfa/Sp_bin_101.obs 8.958917457088841  0.02663406104844057   0.505433287343817  0.0827218532373048   0.3122877522391148 0.0025379256633086267 0.18484342506106424  0.003250143487096152
102 Alfa/Sp_bin_102.obs 8.894907093836158 0.030768385683169974  0.5113082137164664 0.10269813437861772   0.2512436302901744  0.002367153870670574 0.12213067284171181  0.002660174513149427
103 Alfa/Sp_bin_103.obs 8.971640600723811 0.024912546347874986  0.5451503478420613 0.08798036584441873  0.30026383713135896 0.0025287979366630797 0.28598190190043316  0.005465221211186672
104 Alfa/Sp_bin_104.obs 8.846442339369124 0.042811435503758766  0.2715801323804386 0.12085184839740078 0.057511719948380474 0.0012143228780364286 0.09912335258922889 0.0010580413655511337
105 Alfa/Sp_bin_105.obs 8.973227187649915  0.03141577847991606   0.592635275937937 0.09877506824955229   0.3193331905363477  0.003973322827391185   0.468635203210166  0.005120712419418805
106 Alfa/Sp_bin_106.obs 8.949054358542512 0.033693238122211255  0.4487052528957301 0.11971719421961619   0.3186857881522669 0.0047743526196191155 0.39851651792567777  0.005111123904746939
107 Alfa/Sp_bin_107.obs  8.87177815764397  0.03708793949611966  0.2882744595296277 0.10364356903099065  0.44666642335583867  0.007431812543081284 0.19406334556146793  0.007115482756894664
108 Alfa/Sp_bin_108.obs 8.936867847794009 0.034526426795286724   0.502531820182907 0.08790521665386636   0.6765870139553328 0.0037278935396992674  0.9329223372942086   0.00564333959358837
109 Alfa/Sp_bin_109.obs 8.955954938088343  0.03273387711974873  0.5317459269688518 0.09737173837883628  0.20850909737990458  0.003075973983900679 0.27111218301011925 0.0045460162027320394
 11  Alfa/Sp_bin_11.obs   8.7674732127125 0.024328378804492345  0.4893286813011517 0.06539038922007198   0.6024733635665911  0.004748065534665724  0.5858509870283977  0.011649130173163824
110 Alfa/Sp_bin_110.obs 8.950939828195757 0.037305586823086045  0.3774717755623756   0.108280453356045   0.3437629536292501 0.0041444608802050364   0.337420585266335  0.006364894349045497
111 Alfa/Sp_bin_111.obs 8.954412034388778  0.03272305643810203    0.43186732080577 0.10643817293996324   0.2857392624008356  0.003408610756721636  0.5341671263952746  0.004386182177377629
112 Alfa/Sp_bin_112.obs 8.865398415884393  0.03252431121379118  0.5055748251410683 0.09533112508457728   0.1546738746103923 0.0025143526034477615  0.4782633068500102 0.0028148204935420085
113 Alfa/Sp_bin_113.obs 8.969509944779169  0.03469973872096688  0.6393230649253676 0.11991017001981108   0.7117193282759444  0.005878187323984152   0.544217298275018  0.005679645934056399
114 Alfa/Sp_bin_114.obs 8.947983504286325  0.03205136002102371  0.5855555233087832 0.10166679779462456   0.2902269627422003  0.004734575277800024  0.2564969665388348  0.005405659565489135
115 Alfa/Sp_bin_115.obs 8.875795738508998  0.03300769526801517  0.2508121215797181 0.09965461221987806  0.11412057437220254 0.0019265751333271963 0.17910088068768906  0.002221153897549788
116 Alfa/Sp_bin_116.obs  8.98047146478465  0.03818508640700191  0.4342838987527069  0.1209480872199511   0.1918406917560951   0.00379034093121014 0.21126723335679826 0.0033017315164498157
117 Alfa/Sp_bin_117.obs 8.967878878540557  0.03369563302661138 0.44732456448213065 0.11255558998799561  0.22781980471573804   0.00519856267196403  0.2659593999305615  0.004284021360468598
118 Alfa/Sp_bin_118.obs  8.96594873266849   0.0345386304097417  0.4689511852883146 0.09755560362703175  0.42346870817357907  0.003789816380274813  0.5408007235804464  0.004333183705627186
119 Alfa/Sp_bin_119.obs  8.92218353314132  0.03320837103813368  0.4213001148601915 0.09505737359783392   0.1770165694592064 0.0023936330961360497 0.14906007958936845 0.0019318601658445955
 12  Alfa/Sp_bin_12.obs 8.763856609623339  0.02373127111854334  0.5720368898133422 0.07297257060550155   1.0034919809252973   0.00958956956630913  0.9447780392345919  0.015608001945709327
120 Alfa/Sp_bin_120.obs 8.869881081455791 0.035877827134759066  0.2642034513868019 0.09077188685156884   0.1180895846760732 0.0017972413493861639 0.20849500840242785 0.0018124332720054342
121 Alfa/Sp_bin_121.obs 8.812382745190133   0.0398916220729717 0.18848853115882278 0.10297778431383978  0.09521582270613886 0.0007147231042869129  0.2578300997192646 0.0010368628507058664
122 Alfa/Sp_bin_122.obs 8.923230753256458  0.03395004303125759 0.41824626753843475  0.1137041899841483  0.24521237656749648 0.0030291207536717046 0.45030551211736053  0.004565811521411278
123 Alfa/Sp_bin_123.obs 8.899901939455244 0.038336239128605065  0.3115767838594392 0.10261393884037376  0.05548472145315176 0.0013554984162577957 0.07986511849193047 0.0008613756391238347
