# p q signal noise
19 22 1.289e+01 1.977e-01
19 23 1.311e+01 1.977e-01
19 24 1.306e+01 1.977e-01
19 25 1.278e+01 1.977e-01
19 26 1.210e+01 1.977e-01
19 27 1.132e+01 1.977e-01
19 28 1.006e+01 1.977e-01
19 29 8.906e+00 1.977e-01
19 30 7.684e+00 1.977e-01
19 31 6.545e+00 1.977e-01
19 32 5.423e+00 1.977e-01
19 33 4.538e+00 1.977e-01
19 34 3.911e+00 1.977e-01
19 35 3.090e+00 1.977e-01
19 36 2.488e+00 1.977e-01
19 37 1.979e+00 1.977e-01
20 10 1.840e+00 1.977e-01
20 11 2.622e+00 1.977e-01
20 12 4.049e+00 1.977e-01
20 13 5.821e+00 1.977e-01
20 14 7.897e+00 1.977e-01
20 15 9.843e+00 1.977e-01
20 16 1.102e+01 1.977e-01
20 17 1.179e+01 1.977e-01
20 18 1.218e+01 1.977e-01
20 19 1.217e+01 1.977e-01
20 20 1.210e+01 1.977e-01
20 21 1.243e+01 1.977e-01
20 22 1.296e+01 1.977e-01
20 23 1.348e+01 1.977e-01
20 24 1.393e+01 1.977e-01
20 25 1.400e+01 1.977e-01
20 26 1.360e+01 1.977e-01
20 27 1.310e+01 1.977e-01
20 28 1.199e+01 1.977e-01
20 29 1.083e+01 1.977e-01
20 30 9.528e+00 1.977e-01
20 31 8.340e+00 1.977e-01
20 32 6.902e+00 1.977e-01
20 33 5.948e+00 1.977e-01
20 34 5.307e+00 1.977e-01
20 35 4.297e+00 1.977e-01
20 36 3.569e+00 1.977e-01
20 37 2.842e+00 1.977e-01
20 38 2.251e+00 1.977e-01
20 39 1.605e+00 1.977e-01
21 11 1.991e+00 1.977e-01
21 12 2.927e+00 1.977e-01
21 13 4.157e+00 1.977e-01
21 14 5.614e+00 1.977e-01
21 15 7.028e+00 1.977e-01
21 16 8.015e+00 1.977e-01
21 17 8.825e+00 1.977e-01
21 18 9.416e+00 1.977e-01
21 19 9.943e+00 1.977e-01
21 20 1.042e+01 1.977e-01
21 21 1.130e+01 1.977e-01
21 22 1.211e+01 1.977e-01
21 23 1.306e+01 1.977e-01
21 24 1.377e+01 1.977e-01
21 25 1.419e+01 1.977e-01
21 26 1.437e+01 1.977e-01
21 27 1.421e+01 1.977e-01
21 28 1.354e+01 1.977e-01
21 29 1.261e+01 1.977e-01
21 30 1.124e+01 1.977e-01
21 31 9.981e+00 1.977e-01
21 32 8.629e+00 1.977e-01
21 33 7.471e+00 1.977e-01
21 34 6.595e+00 1.977e-01
21 35 5.562e+00 1.977e-01
21 36 4.805e+00 1.977e-01
21 37 3.910e+00 1.977e-01
21 38 3.085e+00 1.977e-01
21 39 2.374e+00 1.977e-01
21 40 1.794e+00 1.977e-01
22 11 1.296e+00 1.977e-01
22 12 2.087e+00 1.977e-01
22 13 2.908e+00 1.977e-01
22 14 3.869e+00 1.977e-01
22 15 4.959e+00 1.977e-01
22 16 5.609e+00 1.977e-01
22 17 6.448e+00 1.977e-01
22 18 7.134e+00 1.977e-01
22 19 7.875e+00 1.977e-01
22 20 8.526e+00 1.977e-01
22 21 9.683e+00 1.977e-01
22 22 1.080e+01 1.977e-01
22 23 1.182e+01 1.977e-01
22 24 1.270e+01 1.977e-01
22 25 1.351e+01 1.977e-01
22 26 1.421e+01 1.977e-01
22 27 1.440e+01 1.977e-01
22 28 1.421e+01 1.977e-01
22 29 1.352e+01 1.977e-01
22 30 1.249e+01 1.977e-01
22 31 1.125e+01 1.977e-01
22 32 9.911e+00 1.977e-01
22 33 8.804e+00 1.977e-01
22 34 8.058e+00 1.977e-01
22 35 6.835e+00 1.977e-01
22 36 6.064e+00 1.977e-01
22 37 5.202e+00 1.977e-01
22 38 4.162e+00 1.977e-01
22 39 3.184e+00 1.977e-01
22 40 2.314e+00 1.977e-01
22 41 1.704e+00 1.977e-01
23 12 1.493e+00 1.977e-01
23 13 2.026e+00 1.977e-01
23 14 2.682e+00 1.977e-01
23 15 3.474e+00 1.977e-01
23 16 3.965e+00 1.977e-01
23 17 4.592e+00 1.977e-01
23 18 5.247e+00 1.977e-01
23 19 6.012e+00 1.977e-01
23 20 6.901e+00 1.977e-01
23 21 7.880e+00 1.977e-01
23 22 8.941e+00 1.977e-01
23 23 1.004e+01 1.977e-01
23 24 1.108e+01 1.977e-01
23 25 1.202e+01 1.977e-01
23 26 1.299e+01 1.977e-01
23 27 1.361e+01 1.977e-01
23 28 1.384e+01 1.977e-01
23 29 1.353e+01 1.977e-01
23 30 1.297e+01 1.977e-01
23 31 1.208e+01 1.977e-01
