bin              f_oii f_neiii    f_hd    f_hg    f_hb f_oiii59 f_oiii07            unc_oii unc_neii unc_hd unc_hg unc_hb unc_oiii59 unc_oiii07
 23           1336.757  53.143 118.077 305.987 814.729   272.23 1106.203 40.965999999999994    10.98  8.113  8.279 22.903     23.995     27.951
 24 1259.9160000000002  43.615 125.845 259.922 764.892  274.023  962.876             43.256   10.244  5.901  7.379 18.099     22.108     25.179
 25 1239.5030000000002  51.551 138.949 272.217 795.774  299.844 1086.571             42.674    14.03  8.119  7.352  17.22     24.901     27.002
 26 1082.0140000000001  46.025 110.928   230.9 653.456  214.902  754.776 20.011000000000003   10.593  7.155  7.754 22.525     18.872      23.68
 27  845.6759999999999  24.269  88.067  189.07 510.299  193.603  694.969             25.654    7.304  3.628  3.695 18.571     10.815     14.199
 28  959.2950000000001  42.815  99.953 220.163 571.875  221.082  797.524             30.387    8.203  3.711  5.934 11.791     15.352     18.582
 29            861.008     nan  88.594 178.041  535.81  185.043  535.101             22.052      nan  5.383  6.385 15.007      18.01     18.901
  3           1501.171  53.224 163.697 326.581  954.06  334.426 1368.314             56.363    13.52  7.282  7.781 23.496     20.724     32.305
 30  944.7339999999999  33.367  96.421 203.462 587.496  179.338  617.891             19.789   10.839  7.827  7.674 13.077     19.107     16.088
 31            587.005   25.42  56.053 118.541 347.479  110.297  351.706             17.028    6.318  4.698  4.007 11.573     10.925     11.552
 32           1033.768  31.234  98.498 213.289 596.004   202.98  723.913 19.939999999999998    7.082  5.998    6.4 23.418     18.107     21.346
 33           1049.674  43.371 111.861 224.706 611.822  208.603  826.783             26.884    9.048  6.583  5.815 18.056     22.803     25.717
 34            828.065  27.334  88.221 185.338 530.326  166.983  489.445             25.291    8.957  6.203  7.199 13.504     14.505     12.532
 35  948.8729999999999  31.786 102.627 185.578 544.645  169.773  596.641             35.607    9.978  3.683  5.901 18.682     19.281     25.775
 36            750.345     nan  94.185 177.723 474.372  174.197  498.612             22.007      nan  7.557 10.541 15.524     13.207      17.47
 37            397.499     nan  39.299  91.209 224.305   82.042  230.388             10.582      nan  4.317   5.13 13.603     12.546      7.932
 38            870.591   33.98  84.841 177.548 502.656  147.711  496.817             20.753    9.419  5.767  7.984 20.059     17.138     18.547
 39            955.575  36.892  110.23 199.069 576.542  195.383  727.846             27.654    7.014  6.276  4.193 17.949     16.894     16.701
  4 1199.2359999999999  42.765 121.786 240.334 642.361   239.96  898.628             35.302    5.811  6.573  4.654 15.546     16.176     23.746
 40  746.4359999999999  39.716  90.743 165.952 481.587  131.288  435.875             22.875     8.37  9.801  6.203 13.329     16.521     12.125
 41            769.328     nan  85.485 167.531 500.594  125.776  436.466 21.206000000000003      nan  5.837  5.384 20.671     13.557      14.45
 42            668.775  29.036  76.486 158.033 440.575  125.048  392.101              14.86    8.079  6.419 10.192 16.489     21.291     17.752
 43            348.265  14.695  31.625  62.596 174.625   65.489   236.39               6.93    2.861  2.442   1.99  6.341      7.603      6.531
 44              673.5  27.972  61.961 130.929 342.443  115.512  420.194 19.137999999999998    5.462  3.162  4.394  9.935     13.473      10.42
 45  671.5509999999999  21.891  65.064 140.575 377.961  110.468  385.654 19.881999999999998    6.796  4.603  3.401 10.809      9.977     13.854
 46            614.443     nan  68.549 129.693 336.465  118.096  437.743             20.279      nan  3.907  3.988 12.708     13.245      9.561
 47            744.509   33.93  84.283 169.188 474.179  110.014  388.635             22.596     9.04  6.226   3.85 15.252     17.123     16.225
 48  685.6469999999999  28.354  83.519 164.463 416.423  126.685   385.57             16.829    6.884 10.796 10.942 15.224      15.61     16.201
 49            700.925     nan  75.124 152.999 471.105  122.506  400.354             29.731      nan  6.216  8.795 12.461     11.965     12.818
  5           1248.138  43.574 131.221 266.601 714.425  266.035  988.326              49.44   11.631  5.568  6.322 11.945     17.249     25.482
 50            257.764     nan  22.392  49.601 124.679   45.575  136.654              7.356      nan  2.539  2.511  3.689      5.003        5.1
 51            528.787  29.106  48.755 104.778 300.064   91.355  259.281             14.942    5.942  2.194  4.235 11.487      9.971       5.65
 52            670.443     nan  70.554 176.183 451.046  116.632  353.173              23.11      nan  4.242  6.671 17.445     17.737     13.687
 53            696.768   26.13  78.893 165.469 464.205  110.031  374.108 20.752000000000002    7.883  7.649  5.698 14.575     14.179     11.263
 54             554.18  23.635  57.983 126.097 331.741  107.278  335.062             17.531    7.613  6.188  4.908 11.379      8.221     13.254
 55             658.52  23.423  75.267  147.81   440.0  139.657  372.524 15.918000000000001    7.728  5.574  6.722 17.482     15.511     13.169
 56            390.906  11.986  33.702  70.148 186.554   78.282  273.695              9.819    2.599  1.701  1.401  5.902      4.248      6.556
 57            308.252  15.139  29.311  60.902 147.017   60.254  187.162               5.38    2.989  1.997   1.93  4.872      7.397      6.334
 58            566.788     nan  57.581 123.981 365.264    95.23  257.328             16.671      nan  4.849  4.166 15.862      8.502     10.535
 59            278.666     nan  27.536  53.849  131.71   53.098  127.873              7.361      nan  2.327  4.286  6.111      9.641        6.3
  6           1406.382  60.797 152.184 305.653 877.907  346.617 1247.758             32.692   12.263  7.095  6.141 28.761     26.667     33.452
 60  640.6379999999999     nan  68.698  168.52 441.631   99.641  291.278             21.517      nan  8.136  6.836 12.602     18.292     10.716
 61            667.342     nan  75.444 156.115 463.782  107.334  357.843             17.145      nan  6.665  7.287 16.813     15.901     12.571
 62            604.244  21.625  66.993 143.386 421.205  111.515  312.171             23.605    6.696  8.436  7.172 16.379     15.904      14.22
 63 479.58299999999997     nan   51.17 109.653 313.339   67.079  220.582             11.442      nan  6.319  6.163 16.613      8.871      7.255
 64 359.15999999999997     nan  36.495  73.844 211.732   51.551  157.176             12.389      nan  3.893  4.154  9.263      9.277      7.995
 65            489.147     nan  61.622 111.684 273.499   96.278  259.085             17.108      nan   5.39  3.242 11.512     10.629     12.206
 66            542.235     nan  57.685 125.889 403.725  109.204   330.23 20.320999999999998      nan  6.376  6.517 12.601     16.633     12.436
 67            544.513     nan  54.026 145.786 389.922   92.199  266.532             26.206      nan  6.585  4.778 14.706     13.282      13.22
 68  567.8679999999999  22.023  78.964 144.934   422.6   90.055  255.672             17.683    7.329  8.138  5.302 13.238     12.796     12.949
 69            121.686     nan     nan  21.125  59.926   27.649   66.171               6.27      nan    nan   1.95  2.991      5.817      4.614
  7           1084.901  43.488 119.202 228.247 616.244  248.306  839.501             45.571    7.387  5.712  5.804 12.557     10.122      22.39
 70            167.269     nan  16.769  33.874  79.794   26.749   64.529  6.106999999999999      nan  2.762   2.38  5.251      4.114      3.424
 71            576.517     nan  84.746  152.06   411.7   95.444  272.964             20.975      nan  9.008   7.76 15.093     13.268      9.535
 72            525.527     nan  62.894 122.096 359.998   82.566  221.029 17.816000000000003      nan  7.624  6.567 11.198     14.611      8.757
 73 487.20099999999996   30.16  46.185 126.406 340.527  102.973  271.648             22.921    7.775  6.701  8.543 15.148     15.335      8.657
